,id,title
0,1,Matchday 1
1,2,Matchday 2
2,3,Matchday 3
3,4,Matchday 4
4,5,Matchday 5
5,6,Matchday 6
6,7,Matchday 7
7,8,Matchday 8
8,9,Matchday 9
9,10,Matchday 10
10,11,Matchday 11
11,12,Matchday 12
12,13,Matchday 13
13,14,Matchday 14
14,15,Matchday 15
15,16,Round of 16
16,17,Quarter-finals
17,18,Semi-finals
18,19,Match for third place
19,20,Final
